Pharmaceutical,Prescribed_Daily_Dosage,Num_Prescriptions,SMILES,INCHIKEY,INCHI_STRING,Molar_Mass,MOLECULAR_FORMULA,Boiling.Point,Density,Flash.Point,Henry.s.Law,Index.of.Refraction,liquid.chromatography.Retention.Time,LogD5.5,LogD7.4,LogKoa.Octanol.Air,LogKow.Octanol.Water,Melting.Point,Molar.Refractivity,Molar.Volume,pKa.Acidic.Apparent,pKa.Basic.Apparent,Polarizability,ReadyBiodeg,Surface.Tension,Thermal.Conductivity,Vapor.Pressure,Viscosity,Water.Solubility,Invertebrate_Median_LC50,Plants_Algae_Median_LC50,Vertebrate_Median_LC50,Min_Vertebrate_LC50,Invertebrate_median_NOEC,Plants_algae_median_NOEC,Vertebrate_median_NOEC,Min_Vertebrate_NOEC,Amides,Ethers,Tertiary amines,Alkyl halides,Secondary amines,Aliphatic alcohols,Aromatic alcohols,Carboxylic acids,Sulfonamides,Primary amines,Ureas,Esters,Nitriles,Ketones,Sulfides,Carbamates,Sulfones,Guanidines,Amidines,Thiols,Imines,Imides
IRBESARTAN,71324050.6329114,341,CCCCC1=NC2(CCCC2)C(=O)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1,YOSHYTLCDANDAN-UHFFFAOYSA-N,"InChI=1S/C25H28N6O/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30)
",428.54,C25H28N6O,648.575,1.347,344.642,2.81838293126445e-09,1.69,16.7,3.35,2.37,10.24,4.195,180.5,125.446,328.246,5.02,6.77,49.731,0.0,54.434,,1.47560466583319e-09,,7.49944120650459e-06,,,,,,,428.537,428.537,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
DICLOFENAC,65975939.3607972,521,OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1,DCOPUUMXTXDBNB-UHFFFAOYSA-N,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)
",296.15,C14H11Cl2NO2,410.979,1.4395,214.168,1.58489319246111e-10,1.662,14.19,3.08,1.2,9.3,4.482,181.841,76.531,206.819,4.08,,30.339,0.0,57.998,143.022,2.7227e-08,55.0808,7.94e-06,15800.0,,70980.0,11500.0,500.5,,340.0,2.96153,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMIODARONE,64551875.3490163,279,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"InChI=1S/C25H29I2NO3/c1-4-7-11-22-23(18-10-8-9-12-21(18)31-22)24(29)17-15-19(26)25(20(27)16-17)30-14-13-28(5-2)6-3/h8-10,12,15-16H,4-7,11,13-14H2,1-3H3
",645.32,C25H29I2NO3,559.9545,1.9015,314.84,1.0471285480509e-06,1.625,34.38,7.23,7.56,11.68,7.57,183.166,144.381,408.224,,5.57,57.237,0.0,47.799,,4.0641550558205005e-10,,2.795225e-06,,,526.0,526.0,,,623.0,623.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ATENOLOL,64342965.6180311,1285,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,METKIMKYRPQLGS-UHFFFAOYSA-N,"InChI=1/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)
",266.341,C14H22N2O3,411.78,1.117,248.816,3.09029543251359e-10,1.54,9.8,-2.5,-0.67,9.23,0.16,147.0,74.257,236.659,,9.5,29.438,1.0,45.019,197.387,1.09647819614318e-09,204.174,0.0501,400000.0,,,,8872.0,224400.0,6600.0,133.17013317,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLUOXETINE,63389586.5551824,2026,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,RTHCYVBBDHJXIQ-UHFFFAOYSA-N,"InChI=1/C17H18F3NO/c1-21-12-11-16(13-5-3-2-4-6-13)22-15-9-7-14(8-10-15)17(18,19)20/h2-10,16,21H,11-12H2,1H3
",309.332,C17H18F3NO,345.2675,1.19,186.02,3.09029543251359e-08,1.511,18.21,-2.99,-1.09,9.79,4.087,112.635,79.895,266.733,,12.54,31.673,0.0,32.994,,1.42561e-06,,0.0001949844599758,75075.0,36000.0,250.558,250.558,85.0663,536.0,5283.98,3.2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXYCODONE,62089453.5635793,1253,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O,BRUQQQPBMZOVGD-XFKAJCMBSA-N,"InChI=1S/C18H21NO4/c1-19-8-7-17-14-10-3-4-12(22-2)15(14)23-16(17)11(20)5-6-18(17,21)13(19)9-10/h3-4,13,16,21H,5-9H2,1-2H3/t13-,16+,17+,18-/m1/s1
",315.369,C18H21NO4,431.0435,1.3815,246.672,3.5481338923357594e-11,1.659,7.9,-0.87,0.82,11.02,1.077,219.0,83.117,225.373,,7.61,32.95,0.0,64.546,,1.74582e-09,,0.00458342,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRAVASTATIN,61351101.9108258,1723,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,TUZYXOIXSAXUGO-PZAWKZKUSA-N,"InChI=1S/C23H36O7/c1-4-13(2)23(29)30-20-11-17(25)9-15-6-5-14(3)19(22(15)20)8-7-16(24)10-18(26)12-21(27)28/h5-6,9,13-14,16-20,22,24-26H,4,7-8,10-12H2,1-3H3,(H,27,28)/t13-,14-,16+,17+,18+,19-,20-,22-/m0/s1
",424.534,C23H36O7,521.6645,1.221,265.6335,1.1748975549395298e-11,1.555,13.41,2.18,2.15,9.43,2.18,201.87,111.987,349.129,8.61,,44.395,0.0,47.822,164.103,4.26579518801593e-10,,7.93623e-05,,,,,,,254.72095,254.72095,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CARVEDILOL,59786181.1841288,2311,COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,OGHNVEJMJSYVRP-UHFFFAOYSA-N,"InChI=1/C24H26N2O4/c1-28-21-10-4-5-11-22(21)29-14-13-25-15-17(27)16-30-23-12-6-9-20-24(23)18-7-2-3-8-19(18)26-20/h2-12,17,25-27H,13-16H2,1H3
",406.482,C24H26N2O4,593.4675,1.267,353.494,1.0232929922807501e-10,1.657,18.75,4.19,4.17,9.42,4.115,114.5,119.598,325.111,8.85,,47.412,0.0,53.948,,3.74973e-12,,7.75928e-06,,,,,,,406.481,406.481,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEFUROXIME,58887500.0,66,CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CC=CO1,JFPVXVDWJQMJEE-IZRZKJBUSA-N,"InChI=1S/C16H16N4O8S/c1-26-19-9(8-3-2-4-27-8)12(21)18-10-13(22)20-11(15(23)24)7(5-28-16(17)25)6-29-14(10)20/h2-4,10,14H,5-6H2,1H3,(H2,17,25)(H,18,21)(H,23,24)/b19-9-/t10-,14-/m1/s1
",424.38,C16H16N4O8S,276.0,,,1.3803842646028898e-11,,3.79,-2.0,-3.89,9.41,-0.16,201.0,,,3.67,,,0.0,,,1.6218100973589302e-09,,0.0091201083935591,,,,,,,,,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
SPIRONOLACTONE,57226497.2860687,1192,[H][C@@]12CC[C@@]3(CCC(=O)O3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])[C@@H](CC2=CC(=O)CC[C@]12C)SC(C)=O,LXMSZDCAJNLERA-ZHYRCANASA-N,"InChI=1S/C24H32O4S/c1-14(25)29-19-13-15-12-16(26)4-8-22(15,2)17-5-9-23(3)18(21(17)19)6-10-24(23)11-7-20(27)28-24/h12,17-19,21H,4-11,13H2,1-3H3/t17-,18-,19+,21+,22-,23-,24+/m0/s1
",416.58,C24H32O4S,530.08,1.24,287.8195,1.12201845430196e-08,1.586,22.11,2.78,2.78,11.68,2.78,207.5,112.688,335.8,,,44.673,0.0,50.887,,3.97165737362141e-09,,5.2654e-05,,,,,,,250001.65,1.55,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
PHENYTOIN,52059266.8371696,181,"[Na+].O=C1NC(C(=O)[N-]1)(C1=CC=CC=C1)C1=CC=CC=C1, O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1","FJPYVLNWWICYDW-UHFFFAOYSA-M, CXOFVDLJLONNDW-UHFFFAOYSA-N","InChI=1S/C15H12N2O2/c18-13-15(17-14(19)16-13,11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H,(H2,16,17,18,19)
",274.255,C15H12N2O2,417.747,1.2755,203.484,6.30957344480194e-10,1.61,10.64,2.36,2.36,9.33,2.391,295.75,69.586,200.576,9.59,,27.586,0.0,49.231,,2.80638828464814e-09,,0.000126853,2529903.4,,68759.05,63068.1,,,75000.0,100.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
PROPRANOLOL,50758484.6989141,659,CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1,AQHHHDLHHXJYJD-UHFFFAOYSA-N,"InChI=1/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3
",259.349,C16H21NO2,383.708,1.0935,205.456,1.41253754462276e-09,1.581,12.13,0.12,2.01,8.4,3.262,130.88,78.985,237.161,,9.16,31.312,0.0,41.4615,154.193,2.95120922666638e-08,32.3594,0.0005888436553555,6085.0,,17850.0,17850.0,117.5,,1148.3725,4.11,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMLODIPINE,50756893.3438182,6951,CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,HTIQEAQVCYTUBX-UHFFFAOYSA-N,"InChI=1/C20H25ClN2O5/c1-4-28-20(25)18-15(11-27-10-9-22)23-12(2)16(19(24)26-3)17(18)13-7-5-6-8-14(13)21/h5-8,17,23H,4,9-11,22H2,1-3H3
",408.88,C20H25ClN2O5,468.3425,1.2465,268.38,1.17489755493953e-08,1.546,8.87,-0.04,1.82,10.44,3.0,165.546,105.419,333.02,,8.37,41.792,0.0,44.445,,5.80764e-09,,0.0002266817401963,,,,,10.0,,,,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
CITALOPRAM,49987703.1458049,1702,CN(C)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1,WSEQXVZVJXJVFP-UHFFFAOYSA-N,"InChI=1/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3
",324.399,C20H21FN2O,393.966,1.1755,234.6685,3.98107170553497e-06,1.591,13.08,0.63,2.22,10.63,2.9525,143.048,92.137,272.637,,7.36,36.526,0.0,49.896,157.086,2.84446e-08,12.4451,7.729385e-05,3900.0,,,,1402.5,,2.3,2.3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ROSUVASTATIN,46919698.0951631,2685,CC(C)C1=C(\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)C(=NC(=N1)N(C)S(C)(=O)=O)C1=CC=C(F)C=C1,BPRHUIZQVSMCRT-VEUZHWNKSA-N,"InChI=1S/C22H28FN3O6S/c1-13(2)20-18(10-9-16(27)11-17(28)12-19(29)30)21(14-5-7-15(23)8-6-14)25-22(24-20)26(3)33(4,31)32/h5-10,13,16-17,27-28H,11-12H2,1-4H3,(H,29,30)/b10-9+/t16-,17-/m1/s1
",481.54,C22H28FN3O6S,559.806,1.4165,345.1715,1.3182567385564001e-11,1.598,12.36,2.53,2.53,9.41,1.359,204.2825,119.984,351.864,9.89,1.7,47.565,0.0,62.269,,2.40436e-10,,5.80764e-05,,,,,,,481.539,481.539,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
METHYLPHENIDATE,45717662.0352783,1142,COC(=O)C(C1CCCCN1)C1=CC=CC=C1,DUGOZIWVEXMGBE-UHFFFAOYSA-N,"InChI=1/C14H19NO2/c1-17-14(16)13(11-7-3-2-4-8-11)12-9-5-6-10-15-12/h2-4,7-8,12-13,15H,5-6,9-10H2,1H3
",233.311,C14H19NO2,317.3225,1.0675,152.957,2.88403150312661e-10,1.523,14.0,-4.83,-2.93,8.82,2.347,107.45,66.617,218.032,,10.54,26.409,1.0,39.044,151.348,2.40436e-06,21.1349,0.003974745,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FAMOTIDINE,41366488.4668864,1003,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,XUFQPHANEAPEMJ-UHFFFAOYSA-N,"InChI=1S/C8H15N7O2S3/c9-6(15-20(12,16)17)1-2-18-3-5-4-19-8(13-5)14-7(10)11/h4H,1-3H2,(H2,9,15)(H2,12,16,17)(H4,10,11,13,14)
",337.44,C8H15N7O2S3,521.45,1.838,354.397,1.0471285480509e-10,1.808,4.16,-1.06,-0.65,9.39,-0.64,163.5,79.06,183.554,,5.71,31.342,0.0,97.307,,9.310435785814331e-10,,0.0024657674019634,100000.0,,,,,,,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
AMITRIPTYLINE,40650043.8517267,780,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,KRMDCWKBEZIMAB-UHFFFAOYSA-N,"InChI=1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3
",277.411,C20H23N,367.223,1.059,177.63,1.47910838816821e-07,1.628,22.82,0.51,2.41,9.6,4.92,196.0,91.521,257.794,,9.91,36.282,0.0,47.039,,5.14044e-07,21.1836,3.46737e-05,804.2435,,,,277.409,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLECAINIDE,40233464.3984379,249,FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,DJBNUMBKLMJRSA-UHFFFAOYSA-N,"InChI=1/C17H20F6N2O3/c18-16(19,20)9-27-12-4-5-14(28-10-17(21,22)23)13(7-12)15(26)25-8-11-3-1-2-6-24-11/h4-5,7,11,24H,1-3,6,8-10H2,(H,25,26)
",414.348,C17H20F6N2O3,417.6415,1.352,228.243,8.51138038202376e-09,1.458,23.51,1.08,2.92,9.16,3.78,146.0,87.831,322.091,7.87,8.52,34.819,0.0,31.985,,9.11e-08,,0.000183318932385,,,,,,,,,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NITROFURANTOIN,38956216.8771219,278,[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O,NXFQHRVNIOXGAQ-UHFFFAOYSA-N,"InChI=1S/C8H6N4O5/c13-6-4-11(8(14)10-6)9-3-5-1-2-7(17-5)12(15)16/h1-3H,4H2,(H,10,13,14)
",238.159,C8H6N4O5,387.185,1.752,201.664,1.44543977074593e-08,1.745,4.11,-3.77,-5.67,9.76,-0.4,248.407,53.13,131.072,2.2,,21.062,0.0,89.581,,1.40971142563223e-05,,0.000412124638902,,,,,,,5000.0,5000.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ESCITALOPRAM,38899308.1142704,2439,CN(C)CCC[C@]1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1,WSEQXVZVJXJVFP-FQEVSTJZSA-N,"InChI=1S/C20H21FN2O/c1-23(2)11-3-10-20(17-5-7-18(21)8-6-17)19-9-4-15(13-22)12-16(19)14-24-20/h4-9,12H,3,10-11,14H2,1-2H3/t20-/m0/s1
",324.399,C20H21FN2O,393.966,1.1755,234.6685,3.98107170553497e-06,1.591,13.08,0.63,2.22,10.63,2.9525,122.066,92.137,272.637,,7.36,36.526,0.0,49.896,157.086,2.84446e-08,12.4451,7.729385e-05,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NIFEDIPINE,34416137.3773417,516,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,HYIMSNHJOBLJNT-UHFFFAOYSA-N,"InChI=1S/C17H18N2O6/c1-9-13(16(20)24-3)15(14(10(2)18-9)17(21)25-4)11-7-5-6-8-12(11)19(22)23/h5-8,15,18H,1-4H3
",346.339,C17H18N2O6,420.541,1.2905,242.485,1.31825673855641e-08,1.559,8.95,2.43,2.53,9.4,2.913,173.0,87.905,272.278,,4.93,34.848,0.0,46.099,,6.03949e-08,,5.66786e-05,,,,,,,34634.0,346.34,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OSELTAMIVIR,34230216.3461538,239,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,VSZGPKBBMSAYNT-RRFJBIMHSA-N,"InChI=1S/C16H28N2O4/c1-5-12(6-2)22-14-9-11(16(20)21-7-3)8-13(17)15(14)18-10(4)19/h9,12-15H,5-8,17H2,1-4H3,(H,18,19)/t13-,14+,15+/m0/s1
",312.41,C16H28N2O4,415.615,1.0845,235.3895,1.86208713666287e-11,1.502,12.23,-4.05,-2.17,9.24,1.195,126.0,84.667,286.761,,8.66,33.565,1.0,41.116,,3.98e-09,,0.003812585,,,,,,,150.15,150.15,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
PREDNISONE,33419649.2563288,1800,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,XOFYZVNMUHMLCC-ZPOLXVRWSA-N,"InChI=1S/C21H26O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h5,7,9,14-15,18,22,26H,3-4,6,8,10-11H2,1-2H3/t14-,15-,18+,19-,20-,21-/m0/s1
",358.434,C21H26O5,462.1635,1.3055,307.8605,1.2302687708123801e-09,1.604,12.41,1.47,1.45,9.41,1.519,232.0325,94.084,273.634,8.77,,37.298,0.0,58.593,,3.63915e-10,,0.0003311311214825,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BUSPIRONE,33196193.784539,1061,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,QWCRAEMEVRGPNT-UHFFFAOYSA-N,"InChI=1S/C21H31N5O2/c27-18-16-21(6-1-2-7-21)17-19(28)26(18)11-4-3-10-24-12-14-25(15-13-24)20-22-8-5-9-23-20/h5,8-9H,1-4,6-7,10-17H2
",385.512,C21H31N5O2,502.454,1.2225,310.6305,3.23593656929628e-08,1.604,17.94,2.63,2.63,11.68,2.63,183.5495,106.833,310.684,,1.45,42.352,0.0,62.367,,6.54636e-10,,0.000629506,,,,,,,27500.0,27500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CYCLOBENZAPRINE,32300448.5436958,1576,CN(C)CCC=C1C2=C(C=CC=C2)C=CC2=C1C=CC=C2,JURKNVYFZMSNLP-UHFFFAOYSA-N,"InChI=1S/C20H21N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-14H,7,15H2,1-2H3
",275.395,C20H21N,374.58,1.07,185.239,3.16227766016838e-08,1.646,22.79,1.05,2.94,9.58,4.715,135.26,91.124,251.088,,9.15,36.125,0.0,48.535,,2.21309e-07,,3.31786435166908e-05,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LISDEXAMFETAMINE,29711246.7819051,704,C[C@@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CCCCN,VOBHXZCDAVEXEY-JSGCOSHPSA-N,"InChI=1S/C15H25N3O/c1-12(11-13-7-3-2-4-8-13)18-15(19)14(17)9-5-6-10-16/h2-4,7-8,12,14H,5-6,9-11,16-17H2,1H3,(H,18,19)/t12-,14-/m0/s1
",263.385,C15H25N3O,406.0835,1.041,239.9825,1.0715193052376e-09,1.539,12.6,0.12,0.11,9.24,0.699,174.188,78.845,251.842,9.33,,31.256,1.0,43.892,,9.57194e-07,78.886,0.006980515,,,,,,,,,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CLARITHROMYCIN,29163346.6135458,29,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,AGOYDEPGAOXOCK-KCBOHYOISA-N,"InChI=1S/C38H69NO13/c1-15-26-38(10,45)31(42)21(4)28(40)19(2)17-37(9,47-14)33(52-35-29(41)25(39(11)12)16-20(3)48-35)22(5)30(23(6)34(44)50-26)51-27-18-36(8,46-13)32(43)24(7)49-27/h19-27,29-33,35,41-43,45H,15-18H2,1-14H3/t19-,20-,21+,22+,23-,24+,25+,26-,27+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1
",747.964,C38H69NO13,542.703,1.1705,458.049,9.549925860214369e-11,1.526,24.97,2.13,3.11,9.52,3.1595,128.246,194.005,631.905,,6.49,76.91,0.0,48.707,,2.09411e-15,,0.0010232929922807,49700.0,,100000.0,100000.0,,40.0,1000000.0,1000000.0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
FEXOFENADINE,29030877.9443255,141,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,RWTNPBWLLIMQHL-UHFFFAOYSA-N,"InChI=1/C32H39NO4/c1-31(2,30(35)36)25-17-15-24(16-18-25)29(34)14-9-21-33-22-19-28(20-23-33)32(37,26-10-5-3-6-11-26)27-12-7-4-8-13-27/h3-8,10-13,15-18,28-29,34,37H,9,14,19-23H2,1-2H3,(H,35,36)
",501.667,C32H39NO4,514.695,1.1875,351.2535,2.45470891568503e-08,1.597,23.69,1.23,3.11,9.45,4.804,143.0,145.866,428.127,4.17,8.78,57.826,0.0,52.43,,1.45211e-11,,1.37088e-05,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TERBINAFINE,28969432.1829856,120,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=C1C=CC=C2,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,"InChI=1S/C21H25N/c1-21(2,3)15-8-5-9-16-22(4)17-19-13-10-12-18-11-6-7-14-20(18)19/h5-7,9-14H,16-17H2,1-4H3/b9-5+
",291.438,C21H25N,386.6165,0.985,190.1155,6.76082975391982e-07,1.586,23.68,5.24,5.97,9.78,6.0,115.77,97.09,289.149,,6.18,38.49,0.0,37.9975,138.132,1.39637e-06,,1.8222795e-05,,,,,,5.0,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTELUKAST,28498324.8332093,2928,CC(C)(O)C1=C(CC[C@@H](SCC2(CC(O)=O)CC2)C2=CC(\C=C\C3=NC4=C(C=CC(Cl)=C4)C=C3)=CC=C2)C=CC=C1,UCHDWCPVSPXUMX-TZIWLTJVSA-N,"InChI=1S/C35H36ClNO3S/c1-34(2,40)30-9-4-3-7-25(30)13-17-32(41-23-35(18-19-35)22-33(38)39)27-8-5-6-24(20-27)10-15-29-16-12-26-11-14-28(36)21-31(26)37-29/h3-12,14-16,20-21,32,40H,13,17-19,22-23H2,1-2H3,(H,38,39)/b15-10+/t32-/m1/s1
",586.19,C35H36ClNO3S,694.1935,1.3155,396.833,2.57039578276886e-08,1.678,35.12,9.08,7.44,9.74,8.6095,218.38,173.711,460.759,5.42,,68.864,0.0,59.791,,1.2331e-13,,2.1915882e-07,,,,,,,,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ISOSORBIDE MONONITRATE,28128879.0927575,600,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,YWXYYJSYQOXTPL-SLPGGIOYSA-N,"InChI=1S/C6H9NO6/c8-3-1-11-6-4(13-7(9)10)2-12-5(3)6/h3-6,8H,1-2H2/t3-,4+,5+,6+/m0/s1
",191.139,C6H9NO6,279.8,1.5515,155.304,1.99526231496888e-07,1.543,0.64,-0.5,-2.15,7.38,-0.15,71.5,38.447,122.014,5.4,,15.241,1.0,60.254,,2.75422870333817e-05,37.8443,0.488593,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DABIGATRAN,27871176.4705882,105,CN1C(CNC2=CC=C(C=C2)C(N)=N)=NC2=C1C=CC(=C2)C(=O)N(CCC(O)=O)C1=CC=CC=N1,YBSJFWOBGCMAKL-UHFFFAOYSA-N,"InChI=1S/C25H25N7O3/c1-31-20-10-7-17(25(35)32(13-11-23(33)34)21-4-2-3-12-28-21)14-19(20)30-22(31)15-29-18-8-5-16(6-9-18)24(26)27/h2-10,12,14,29H,11,13,15H2,1H3,(H3,26,27)(H,33,34)
",471.521,C25H25N7O3,780.045,1.486,418.142,1.2302687708123798e-11,1.694,7.51,0.91,1.07,9.47,1.768,297.819,130.844,340.751,4.56,8.52,51.87,0.0,60.867,,1.4091914656322201e-09,,0.0034840318045946,,,,,,,,,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
MECLIZINE,27827369.1671253,447,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1,OCJYIGYOJCODJL-UHFFFAOYSA-N,"InChI=1/C25H27ClN2/c1-20-6-5-7-21(18-20)19-27-14-16-28(17-15-27)25(22-8-3-2-4-9-22)23-10-12-24(26)13-11-23/h2-13,18,25H,14-17,19H2,1H3
",390.96,C25H27ClN2,441.16,1.152,246.407,2.81838293126446e-06,1.617,25.77,4.8,5.51,11.69,5.2605,132.758,118.034,337.248,,6.14,46.792,0.0,47.96,136.1,2.00447e-08,,1.28889745e-05,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
